Time,V1,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
156479,-0.0387392376,-0.1048605786,-0.1583020847,1.1974113805,-0.4585165639,-2.6137411020000,-0.0760742872,-2.3189279313,2.2351718412,-1.1978510014,-2.7636224709
41238,0.8330322929,-0.0447106896,-0.0382591006,-1.5825475441,-0.0122120378,2.7976827475219,0.3345426542,-0.4711870425,1.5718454647,0.1951140103,-0.0175424620
66575,0.0352083478,0.0880031774,-0.3508367459,-0.0050896774,0.2484556070,-1.1134463317446,0.2980009733,0.8131625542,-0.5520598291,-0.6318152377,-3.1379246587
116517,-0.0118637809,0.3919356730,0.0714453977,0.6962574221,-0.2057463554,1.5047888999650,-0.1300015674,0.7652222518,0.4751190440,0.7156988677,-0.9854966389
31143,-0.2723052417,0.0915717983,-0.0753050950,-0.8356416205,-0.0903854703,0.7195356727514,-0.1729916287,1.5092240927,0.0861118600,0.0923484860,-2.6083635451
6133,0.1165179780,0.4373828267,0.0777834229,-0.0729243811,-0.2016131099,-0.2116586591406,0.3086792495,0.4916925155,0.6416919227,0.9917544428,-1.3912481367
103805,-0.3433289814,0.4334713283,-0.5632838319,-0.3723425533,0.2553171492,-2.4339017953652,0.1579947486,0.5313353640,1.9965823640,-0.1936158390,-0.4462205790
66397,0.2295114849,-0.1355296673,0.0255319016,-0.1956817196,0.1246647113,-0.5267500117951,-0.1253974737,0.5763743341,0.8980043447,2.2105911972,0.4900750576
118320,0.0734660273,-0.1215261894,-0.0897230373,0.4879579592,-0.7147135149,0.2925792732302,-0.1717675664,1.1368356306,0.8813074796,-0.7600248801,1.1161559117
153927,-0.0574660687,-0.4495004746,0.3446491812,0.3910643225,-0.2832266891,-0.8690362332241,-0.2716473970,0.8922035863,0.7869965028,1.8844270558,-3.1706566106
120687,0.0759612835,-0.2410375585,0.1600137679,-0.0297004664,-0.7603333419,-3.3003583085252,-0.1988581020,-0.4454122639,-0.8107317001,3.1596135551,0.7728171527
128757,0.3682452274,0.2840844588,0.0452189874,0.1812162000,0.8029633055,-1.6609218113926,0.5082286585,-0.8315490913,-0.3153259791,-1.5300916169,-2.2030060719
22988,-0.0587138601,0.4262161529,-0.0624886230,-0.5901058993,0.3877384227,-0.0511452799272,-0.0655041392,0.7424249707,0.3099184701,-0.8414013123,-0.7755069417
144475,0.1592379620,0.0088172218,0.2990222415,0.7873926718,-0.6730854411,-0.9433074784892,-0.4013528941,-0.5201555982,-1.3930369656,2.4382301087,-0.7603299620
73497,-0.1314946403,-0.0854088664,0.2801654345,0.9483642183,-0.5451443409,2.1626356659838,0.1325642288,0.2485334980,0.1198826806,-0.3442956569,-0.7074920172
129083,0.1133713997,-0.0989738052,-0.0237466570,-2.0205455851,-0.6442645088,-0.2906974800031,0.0003000006,1.4874103165,0.5775145061,-0.0905446663,0.6993213178
161827,-0.4022584198,-0.2751664562,-0.2369897832,-0.6305836204,0.1199147498,-2.0265369218403,0.4128032736,-1.9088882992,-0.9585742215,0.8763509818,-1.0530089001
69019,-0.0747349336,0.1292370931,0.0485601517,-0.3659502956,-0.1660535559,-0.6327118782965,0.0136802204,0.0732231185,0.4126960069,0.3931430846,-0.1275935097
98054,-0.2948861924,0.0690998933,0.1576222372,-0.1452076944,-0.8672369361,-0.8140213437299,-0.2180254942,1.9587909275,-1.2266563893,-0.3925583261,-0.3924296635
146560,-0.2642421057,0.2040158720,-0.0147621938,-0.5246085502,-0.1227853156,1.4647781444353,-0.1915131361,2.6851411427,2.8228501170,-1.5979633127,-0.9589768952
91830,0.1265646858,0.2158166294,0.0387524462,-0.1469169650,0.1346235866,0.0396278503389,0.0126539727,0.8927427684,-1.3069805643,-0.2317282897,-0.4156794080
7843,-0.0975801133,-0.2540581386,-0.1163826817,0.1148735450,-0.1132138916,-2.2248956486598,-0.2041932464,-1.3914093698,0.3459159419,0.8006149541,0.2857837691
