CustomerID,Genre,Age,AnnualIncome,SpendingScore
1,Male,20,19,29
2,Male,39,18,74
3,Female,57,24,26
4,Male,62,91,59
5,Female,52,109,60
6,Male,42,116,15
7,Male,66,87,39
8,Female,29,35,32
9,Male,25,104,16
10,Female,19,101,3
11,Male,23,21,12
12,Female,29,130,73
13,Male,40,130,2
14,Male,63,51,40
15,Female,45,27,35
16,Female,43,86,28
17,Male,43,28,67
18,Female,46,61,39
19,Female,52,80,96
20,Female,44,24,35
21,Male,57,66,35
22,Female,36,59,73
23,Male,53,82,66
24,Male,32,23,9
25,Female,61,80,47
26,Male,44,74,83
27,Female,48,136,83
28,Male,59,30,47
29,Female,37,36,2
30,Female,30,28,56
31,Male,70,21,33
32,Male,62,36,26
33,Female,24,121,14
34,Female,34,89,92
35,Male,58,120,16
36,Male,59,69,55
37,Male,33,23,70
38,Female,69,121,91
39,Male,65,31,63
40,Male,31,31,96
41,Female,49,40,20
42,Female,24,136,90
43,Male,45,84,28
44,Male,33,129,71
45,Male,46,121,48
46,Male,21,43,83
47,Female,37,82,46
48,Female,53,103,75
49,Female,36,20,62
50,Male,42,37,94
51,Female,50,37,7
52,Female,29,126,54
53,Male,27,86,63
54,Male,55,88,7
55,Male,67,49,86
56,Female,24,80,38
57,Female,65,109,2
58,Male,53,69,24
59,Male,58,115,61
60,Male,31,123,51
61,Male,20,78,97
62,Female,29,100,17
63,Female,22,39,92
64,Male,60,113,88
65,Female,28,129,37
66,Female,38,135,20
67,Female,68,119,4
68,Female,45,64,30
69,Male,61,79,18
70,Female,38,47,13
71,Male,23,81,77
72,Male,49,83,29
73,Male,58,41,75
74,Female,49,111,62
75,Female,30,27,38
76,Female,26,110,98
77,Male,46,41,20
78,Male,58,111,77
79,Male,59,22,78
80,Male,59,117,39
81,Female,40,94,87
82,Male,24,127,96
83,Male,49,20,12
84,Male,47,18,11
85,Male,52,118,30
86,Female,21,19,49
87,Male,20,41,96
88,Female,41,16,14
89,Female,38,48,78
90,Male,32,20,31
91,Male,63,82,78
92,Male,62,49,81
93,Male,41,23,14
94,Female,53,94,68
95,Male,70,34,41
96,Female,45,114,94
97,Female,34,35,97
98,Male,22,101,56
99,Male,59,89,72
100,Male,39,70,14
101,Female,32,17,21
102,Female,34,135,87
103,Male,53,19,27
104,Male,26,84,38
105,Female,25,79,61
106,Male,22,41,15
107,Male,62,30,8
108,Female,34,124,37
109,Female,38,43,60
110,Male,66,109,14
111,Male,70,80,27
112,Female,30,89,64
113,Male,68,89,33
114,Male,56,37,35
115,Male,58,21,20
116,Female,37,103,30
117,Female,53,109,64
118,Female,57,116,26
119,Female,35,94,20
120,Male,32,109,15
121,Female,48,30,77
122,Female,53,62,6
123,Female,43,22,57
124,Female,29,135,14
125,Female,20,21,48
126,Male,65,44,67
127,Female,68,124,64
128,Male,31,23,68
129,Female,59,84,55
130,Male,62,76,19
131,Male,31,119,62
132,Female,25,104,48
133,Male,32,37,7
134,Male,57,127,77
135,Male,66,63,35
136,Female,56,20,97
137,Female,58,68,48
138,Male,52,100,46
139,Male,69,125,6
140,Female,61,126,66
141,Male,58,36,41
142,Male,42,77,63
143,Female,64,49,31
144,Female,62,124,7
145,Male,28,67,82
146,Male,69,79,38
147,Male,64,106,75
148,Male,37,134,1
149,Female,35,70,14
150,Male,30,92,19
151,Male,31,56,20
152,Female,26,125,63
153,Male,48,118,55
154,Male,21,35,80
155,Female,32,28,37
156,Female,63,100,9
157,Female,70,119,24
158,Male,47,135,54
159,Female,55,107,18
160,Male,28,56,43
161,Male,22,94,7
162,Female,30,70,10
163,Male,37,50,92
164,Female,24,31,15
165,Male,64,59,84
166,Male,44,89,70
167,Female,35,111,24
168,Male,36,62,71
169,Female,43,30,64
170,Female,66,56,79
171,Male,19,111,37
172,Female,69,17,74
173,Female,65,40,70
174,Female,67,133,90
175,Female,69,86,81
176,Female,64,32,3
177,Male,22,20,83
178,Male,23,72,53
179,Female,66,91,25
180,Female,39,77,45
181,Male,24,40,35
182,Male,54,66,65
183,Male,41,135,42
184,Female,56,110,61
185,Female,19,57,33
186,Male,31,58,97
187,Female,51,26,27
188,Female,33,64,72
189,Female,48,103,91
190,Female,18,88,73
191,Male,49,118,67
192,Female,61,56,96
193,Male,57,32,71
194,Male,67,39,45
195,Female,65,111,13
196,Male,51,81,14
197,Female,56,88,55
198,Male,27,87,37
199,Male,31,106,36
200,Female,44,31,26
201,Male,60,56,78
202,Female,59,88,6
203,Male,36,67,63
204,Male,69,98,44
205,Male,44,132,75
206,Male,63,127,26
207,Female,38,123,59
208,Female,24,125,64
209,Female,61,78,53
210,Male,52,87,71
211,Male,53,129,48
212,Female,41,63,38
213,Male,68,43,90
214,Female,37,79,93
215,Male,58,52,41
216,Female,49,128,13
217,Male,44,91,66
218,Female,48,40,39
219,Male,63,63,59
220,Female,69,122,4
221,Female,30,118,74
222,Female,59,63,68
223,Male,35,30,13
224,Female,66,132,88
225,Female,66,88,50
226,Male,48,57,41
227,Female,56,66,55
228,Male,29,77,26
229,Male,48,48,13
230,Female,59,50,8
231,Male,44,64,87
232,Female,65,93,88
233,Female,57,132,24
234,Male,66,50,36
235,Female,31,119,26
236,Male,23,126,59
237,Female,43,107,93
238,Female,22,111,27
239,Male,40,119,69
240,Male,19,34,47
241,Male,24,133,17
242,Male,40,70,21
243,Female,54,103,24
244,Male,28,36,58
245,Male,49,21,47
246,Male,63,52,89
247,Female,55,90,9
248,Male,55,126,4
249,Female,24,22,21
250,Male,55,57,42
251,Female,57,20,44
252,Male,54,41,67
253,Female,26,128,96
