Age,Experience,Rank,Nationality,Go
36,23,5,N,Yes
70,12,4,N,No
50,23,8,N,Yes
48,4,6,USA,No
68,19,7,N,No
20,15,7,USA,Yes
67,13,5,USA,Yes
22,7,7,USA,No
69,4,6,USA,Yes
53,20,5,UK,No
27,10,7,N,Yes
19,17,10,USA,Yes
20,3,6,USA,Yes
36,12,7,N,No
38,9,6,USA,Yes
64,18,7,UK,No
20,13,9,UK,No
34,4,7,USA,Yes
50,10,6,N,Yes
48,12,4,USA,Yes
51,5,5,UK,No
37,18,5,USA,No
29,23,5,UK,No
68,8,9,USA,Yes
32,5,6,N,Yes
38,21,7,USA,No
70,9,9,USA,Yes
66,18,9,N,No
70,18,5,UK,No
49,21,9,USA,Yes
29,23,7,USA,No
63,6,9,UK,Yes
42,24,10,USA,Yes
24,6,9,UK,No
66,11,9,USA,Yes
25,20,6,N,Yes
37,12,8,UK,Yes
56,5,9,USA,No
56,22,6,USA,Yes
28,16,4,USA,Yes
35,6,4,USA,No
63,10,9,USA,Yes
55,19,7,USA,Yes
31,4,6,USA,No
32,21,9,N,Yes
44,14,5,N,Yes
24,8,8,UK,Yes
43,24,5,UK,Yes
44,4,5,UK,Yes
44,13,4,USA,Yes
65,7,9,USA,No
19,21,4,N,No
68,22,5,N,Yes
24,19,6,USA,No
40,15,4,USA,Yes
44,23,10,UK,No
25,13,9,USA,No
63,18,4,USA,Yes
55,21,10,USA,No
55,12,5,N,Yes
33,8,9,USA,Yes
44,21,7,UK,No
43,9,5,USA,No
40,10,8,UK,Yes
63,7,7,UK,Yes
59,8,6,N,No
49,8,4,N,Yes
58,7,4,UK,No
52,18,8,UK,No
29,18,8,USA,No
50,21,8,USA,No
40,6,9,N,Yes
34,19,7,USA,Yes
38,4,5,UK,Yes
65,19,9,N,No
66,19,9,UK,No
56,5,7,USA,No
38,7,9,N,No
69,24,7,UK,No
23,19,4,UK,No
37,24,10,N,No
32,19,6,UK,No
23,10,9,N,No
43,7,9,UK,Yes
22,22,8,N,Yes
70,24,5,N,No
28,24,5,USA,Yes
53,19,9,N,No
27,23,9,UK,No
25,23,8,UK,No
61,23,6,USA,No
29,17,9,N,Yes
38,7,9,UK,Yes
27,21,9,USA,Yes
36,20,10,UK,Yes
46,5,8,N,No
33,11,4,USA,No
50,22,6,USA,Yes
49,15,8,USA,Yes
40,5,7,USA,Yes
23,20,7,UK,No
23,9,6,USA,Yes
66,18,6,USA,No
49,13,5,UK,Yes
29,11,8,N,No
20,15,6,UK,No
51,4,5,N,No
62,4,6,N,No
64,18,8,UK,Yes
35,23,10,USA,Yes
56,10,6,N,Yes
36,11,8,UK,Yes
42,7,8,N,Yes
22,8,9,UK,Yes
32,7,7,UK,No
61,24,5,UK,No
40,19,6,N,Yes
49,8,6,USA,Yes
64,12,8,UK,Yes
42,21,6,USA,Yes
38,21,7,USA,Yes
22,21,8,N,No
65,25,6,UK,No
52,15,7,UK,No
61,9,8,N,No
59,13,8,UK,No
19,14,5,N,No
42,11,9,N,Yes
30,9,6,N,No
19,7,9,USA,Yes
68,21,6,UK,Yes
53,10,9,UK,No
66,18,8,UK,No
48,20,6,N,Yes
41,6,5,UK,Yes
19,13,9,N,Yes
59,15,5,USA,Yes
41,20,5,USA,No
45,11,4,USA,Yes
39,8,5,USA,No
67,20,4,USA,No
38,7,9,UK,Yes
22,8,10,USA,Yes
50,6,10,UK,No
31,22,9,N,Yes
21,4,8,USA,Yes
49,20,7,UK,Yes
55,17,8,UK,Yes
42,22,5,USA,Yes
22,6,6,N,No
